#140592 Hit and Run Involved Collisions and Victims  San Diego County  2008 through available 2012  19-MAY-14,,,,,,,
,,,,,,,
,,Total Collisions,Fatal Collisions,Injury Collisions,Property Damage Only Collisons,Killed Victims,Injured victims
Collision Year,,,,,,,
2008,,"4,000",17,"1,179","2,804",18,"1,563"
2009,,"3,539",15,"1,089","2,435",16,"1,461"
2010,,"3,446",6,"1,005","2,435",6,"1,282"
2011,,"3,164",5,"1,006","2,153",5,"1,319"
2012,,"2,924",12,961,"1,951",12,"1,261"
TOTALS,,"17,073",55,"5,240","11,778",57,"6,886"
